research_domain_en,research_domain_de,research_domain_fr,research_domain_en_short,research_domain_de_short,research_domain_fr_short,year,key_term,count
Multi-domain,gebietsübergreifend,Multi-domaines,Multi-domain,gebietsübergreifend,Multi-domaines,2011,text classification,0
Multi-domain,gebietsübergreifend,Multi-domaines,Multi-domain,gebietsübergreifend,Multi-domaines,2011,transfer learning,0
Multi-domain,gebietsübergreifend,Multi-domaines,Multi-domain,gebietsübergreifend,Multi-domaines,2011,transformer net,0
Multi-domain,gebietsübergreifend,Multi-domaines,Multi-domain,gebietsübergreifend,Multi-domaines,2011,unsupervised learning,0
Multi-domain,gebietsübergreifend,Multi-domaines,Multi-domain,gebietsübergreifend,Multi-domaines,2011,voice recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,data mining,1
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,machine learning,2
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,natural language processing,1
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,reinforcement learning,1
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,artificial intellig,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,automated reasoning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,backpropagation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,computer vision,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,data science,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,deep learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,expert system,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,face detection,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,feature extraction,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,generative adversarial net,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,gesture recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,image classification,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,image recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,image segmentation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,information retrieval,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,intelligent machine,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,kernel machine,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,knowledge representation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,machine intelligence,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,machine translation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,meta learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,multilayer perceptron,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,neural net,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,object detection,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,object identification,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,object recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,pattern recognition,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,pose estimation,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,semantic search,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,semi supervised learning,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,sentiment analysis,0
Social Sciences and Humanities,Geistes- und Sozialwissenschaften,Sciences humaines et sociales,SSH,GSW,SHS,2012,speech recognition,0
